module name,license,repository
ariya/phantomjs,BSD,ghttps://github.com/ariya/phantomjs
WebKit,LGPL,http://www.webkit.org/
Qt,LGPL,http://qt-project.org/
abbrev@1.0.9,ISC,git+ssh://git@github.com/isaacs/abbrev-js
accepts@1.1.4,MIT,git+https://github.com/jshttp/accepts
accepts@1.2.13,MIT,git+https://github.com/jshttp/accepts
accepts@1.3.3,MIT,git+https://github.com/jshttp/accepts
acorn-jsx@3.0.1,MIT,git+https://github.com/RReverser/acorn-jsx
acorn@1.2.2,MIT,git+https://github.com/marijnh/acorn
acorn@3.2.0,MIT,git+https://github.com/ternjs/acorn
adm-zip@0.4.4,MIT,git+https://github.com/cthackers/adm-zip
after@0.8.1,MIT,https://github.com/Raynos/after
align-text@0.1.4,MIT,https://github.com/jonschlinkert/align-text
amdefine@1.0.0,BSD-3-Clause AND MIT,git+https://github.com/jrburke/amdefine
ansi-escapes@1.4.0,MIT,git+https://github.com/sindresorhus/ansi-escapes
ansi-regex@2.0.0,MIT,git+https://github.com/sindresorhus/ansi-regex
ansi-styles@2.2.1,MIT,git+https://github.com/chalk/ansi-styles
any-promise@1.3.0,MIT,git+https://github.com/kevinbeaty/any-promise
anymatch@1.3.0,ISC,git+https://github.com/es128/anymatch
app-root-path@1.2.0,MIT,git+https://github.com/inxilpro/node-app-root-path
append-field@0.1.0,MIT,git+ssh://git@github.com/LinusU/node-append-field
archiver-utils@1.2.0,MIT,git+https://github.com/archiverjs/archiver-utils
archiver@1.0.0,MIT,git+https://github.com/archiverjs/node-archiver
argparse@1.0.7,MIT,git+https://github.com/nodeca/argparse
arr-diff@2.0.0,MIT,git+https://github.com/jonschlinkert/arr-diff
arr-flatten@1.0.1,MIT,https://github.com/jonschlinkert/arr-flatten
array-find-index@1.0.1,MIT,git+https://github.com/sindresorhus/array-find-index
array-flatten@1.1.1,MIT,https://github.com/blakeembrey/array-flatten
array-union@1.0.2,MIT,git+https://github.com/sindresorhus/array-union
array-uniq@1.0.3,MIT,git+https://github.com/sindresorhus/array-uniq
array-unique@0.2.1,MIT,https://github.com/jonschlinkert/array-unique
arraybuffer.slice@0.0.6,MIT,git+ssh://git@github.com/rase-/arraybuffer.slice
arrify@1.0.1,MIT,git+https://github.com/sindresorhus/arrify
asap@2.0.4,MIT,git+https://github.com/kriskowal/asap
asn1@0.1.11,MIT,https://github.com/mcavage/node-asn1
asn1@0.2.3,MIT,https://github.com/mcavage/node-asn1
assert-plus@0.1.5,MIT,git+https://github.com/mcavage/node-assert-plus
assert-plus@0.2.0,MIT,git+https://github.com/mcavage/node-assert-plus
assert-plus@1.0.0,MIT,git+https://github.com/mcavage/node-assert-plus
ast-types@0.8.15,MIT,https://github.com/benjamn/ast-types
async-each@1.0.0,MIT,https://github.com/paulmillr/async-each
async-replace@1.0.0,MIT,https://github.com/kesla/async-replace
async-replace@1.0.1,MIT,https://github.com/kesla/async-replace
async@0.1.15,MIT,https://github.com/caolan/async
async@0.1.22,MIT,https://github.com/caolan/async
async@0.2.10,MIT,git+https://github.com/caolan/async
async@0.9.0,MIT,git+https://github.com/caolan/async
async@0.9.2,MIT,git+https://github.com/caolan/async
async@1.0.0,MIT,git+https://github.com/caolan/async
async@1.5.2,MIT,git+https://github.com/caolan/async
